//X Y Z R G B
90330
-0.39759579 0.11089406 2.99822211 151 151 151
-0.39172736 0.11076429 2.99471354 151 151 151
-0.38587293 0.11063490 2.99121523 151 151 151
-0.38003218 0.11050581 2.98772502 151 151 151
-0.37420478 0.11037695 2.98424101 138 138 138
-0.36839119 0.11024845 2.98076701 140 140 140
-0.36259088 0.11012019 2.97729921 140 140 140
-0.35680428 0.10999230 2.97384143 141 141 141
-0.35128766 0.10994499 2.97256231 141 141 141
-0.34626022 0.11005169 2.97544718 141 141 141
-0.34122294 0.11015859 2.97833729 141 141 141
-0.33617589 0.11026569 2.98123312 154 154 154
-0.33111906 0.11037302 2.98413491 154 154 154
-0.32605237 0.11048055 2.98704219 154 154 154
-0.32097575 0.11058829 2.98995495 154 154 154
-0.31588927 0.11069624 2.99287367 154 154 154
-0.31079280 0.11080439 2.99579787 154 154 154
-0.30568641 0.11091277 2.99872804 154 154 154
-0.55491358 0.11527191 2.97162771 149 149 149
-0.54891509 0.11513828 2.96818304 149 149 149
-0.54293090 0.11500506 2.96474862 150 150 150
-0.53696012 0.11487206 2.96131992 136 136 136
-0.53100348 0.11473945 2.95790124 137 137 137
-0.52506083 0.11460719 2.95449162 137 137 137
-0.51913166 0.11447518 2.95108867 138 138 138
-0.51321572 0.11434340 2.94769144 138 138 138
-0.50731367 0.11421198 2.94430351 138 138 138
-0.50142461 0.11408073 2.94091988 138 138 138
-0.49554935 0.11394985 2.93754601 126 126 126
-0.48968759 0.11381928 2.93418002 126 126 126
-0.48383892 0.11368892 2.93081951 127 127 127
-0.47800398 0.11355896 2.92746902 127 127 127
-0.47218198 0.11342919 2.92412376 128 128 128
-0.46637365 0.11329982 2.92078853 128 128 128
-0.46057853 0.11317072 2.91746068 129 129 129
-0.45479625 0.11304185 2.91413832 130 130 130
-0.44902751 0.11291335 2.91082573 130 130 130
-0.44387433 0.11293844 2.91147256 131 131 131
-0.43871266 0.11296194 2.91207838 131 131 131
-0.43354887 0.11298546 2.91268468 133 133 133
-0.42838284 0.11300897 2.91329074 134 134 134
-0.42321473 0.11303250 2.91389751 134 134 134
-0.41804445 0.11305604 2.91450429 134 134 134
-0.41287202 0.11307960 2.91511154 135 135 135
-0.40772685 0.11311132 2.91592932 135 135 135
-0.40259871 0.11314866 2.91689181 135 135 135
-0.39746714 0.11318600 2.91785455 137 137 137
-0.39233220 0.11322338 2.91881824 139 139 139
-0.38719389 0.11326080 2.91978264 139 139 139
-0.38205215 0.11329822 2.92074752 139 139 139
-0.37690702 0.11333568 2.92171311 138 138 138
-0.37175849 0.11337315 2.92267919 138 138 138
-0.36660656 0.11341067 2.92364621 138 138 138
-0.36145121 0.11344819 2.92461348 138 138 138
-0.35629246 0.11348575 2.92558169 138 138 137
-0.35113028 0.11352332 2.92655039 137 137 136
-0.34596467 0.11356092 2.92751980 137 137 136
-0.34079567 0.11359856 2.92848992 137 137 136
-0.33569327 0.11365993 2.93007207 137 137 136
-0.33059004 0.11372298 2.93169737 137 137 137
-0.32548118 0.11378609 2.93332458 137 137 137
-0.32036662 0.11384929 2.93495369 137 137 137
-0.31524637 0.11391255 2.93658447 137 137 137
-0.31012040 0.11397588 2.93821692 137 137 137
-0.30498877 0.11403929 2.93985152 137 137 137
-0.29985145 0.11410277 2.94148803 137 137 137
-0.29470837 0.11416630 2.94312596 137 137 137
-0.28955954 0.11422991 2.94476581 137 137 137
-0.28440499 0.11429360 2.94640756 138 138 138
-0.27924472 0.11435736 2.94805121 138 138 138
-0.27407864 0.11442118 2.94969654 138 138 138
-0.26890680 0.11448508 2.95134377 138 138 138
-0.26372921 0.11454905 2.95299292 139 139 138
-0.25854579 0.11461309 2.95464373 140 140 139
-0.25335661 0.11467721 2.95629668 140 140 139
-0.24816161 0.11474139 2.95795131 140 140 139
-0.24296080 0.11480565 2.95960784 140 140 140
-0.23775412 0.11486997 2.96126604 140 140 140
-0.23254165 0.11493438 2.96292639 139 139 139
