//X Y Z R G B
94448
-0.20136346 0.11538805 2.50801444 125 125 125
-0.19703591 0.11550381 2.51053047 124 124 124
-0.19269966 0.11561979 2.51305151 125 125 124
-0.18835469 0.11573602 2.51557755 126 126 125
-0.18400098 0.11585247 2.51810884 126 126 126
-0.17963850 0.11596916 2.52064514 126 126 126
-0.17526722 0.11608608 2.52318645 126 126 126
-0.17088711 0.11620324 2.52573299 127 127 127
-0.16649817 0.11632064 2.52828479 126 126 126
-0.16210034 0.11643828 2.53084159 126 126 126
-0.15769361 0.11655615 2.53340364 127 127 127
-0.15327786 0.11667418 2.53596926 126 126 126
-0.14885326 0.11679255 2.53854203 126 126 126
-0.14441964 0.11691114 2.54111958 127 127 127
-0.13997695 0.11702991 2.54370093 127 127 127
-0.13552529 0.11714897 2.54628897 127 127 127
-0.13106456 0.11726829 2.54888248 139 139 139
-0.12659466 0.11738778 2.55147958 140 140 140
-0.12211573 0.11750758 2.55408359 140 140 140
-0.11762764 0.11762764 2.55669284 140 140 140
-0.11313030 0.11774787 2.55930614 140 140 140
-0.10862383 0.11786840 2.56192613 141 141 141
-0.10410810 0.11798918 2.56455135 141 141 141
-0.09958307 0.11811015 2.56718063 141 141 141
-0.09504880 0.11823144 2.56981683 153 153 153
-0.09050521 0.11835296 2.57245827 153 153 153
-0.08595221 0.11847468 2.57510376 154 154 154
-0.08138990 0.11859672 2.57775640 153 153 153
-0.55913806 0.11997699 2.50935125 136 136 135
-0.55359620 0.11975754 2.50476146 132 132 131
-0.54820508 0.11956736 2.50078392 109 109 108
-0.54336119 0.11949436 2.49925709 107 107 106
-0.53875363 0.11947256 2.49880099 106 106 105
-0.53414768 0.11945076 2.49834490 106 106 105
-0.52954346 0.11942896 2.49788904 105 105 104
-0.52494097 0.11940717 2.49743342 104 104 104
-0.52034014 0.11938540 2.49697804 103 103 103
-0.51574093 0.11936363 2.49652267 103 103 103
-0.51114345 0.11934186 2.49606729 102 102 102
-0.50654757 0.11932009 2.49561214 102 102 102
-0.50195342 0.11929835 2.49515724 101 101 101
-0.49736094 0.11927661 2.49470258 101 101 101
-0.49277017 0.11925488 2.49424815 100 100 100
-0.48818102 0.11923315 2.49379373 99 99 99
-0.48359427 0.11921161 2.49334311 99 99 99
-0.47901234 0.11919086 2.49290919 98 98 98
-0.47443202 0.11917012 2.49247551 98 98 98
-0.46985331 0.11914940 2.49204206 98 98 98
-0.46527615 0.11912867 2.49160862 97 97 97
-0.46070063 0.11910796 2.49117541 96 96 96
-0.45612669 0.11908726 2.49074244 96 96 96
-0.45155433 0.11906657 2.49030948 96 96 96
