//X Y Z R G B
52196
-1.59371769 0.12422012 2.92976952 151 151 151
-1.58736503 0.12413670 2.92780209 138 138 138
-1.58102095 0.12405340 2.92583728 138 138 138
-1.57468748 0.12397037 2.92387915 138 138 138
-1.56836045 0.12388730 2.92191982 139 139 139
-1.56204176 0.12380432 2.91996288 139 139 139
-1.55573153 0.12372147 2.91800857 140 140 140
-1.54943013 0.12363873 2.91605735 140 140 140
-1.54313672 0.12355609 2.91410828 140 140 140
-1.53685188 0.12347356 2.91216183 141 141 141
-1.53057742 0.12339132 2.91022205 142 142 142
-1.52432084 0.12330995 2.90830278 142 142 142
-1.51807570 0.12322894 2.90639234 142 142 142
-1.51184082 0.12314822 2.90448833 142 142 142
-1.50561213 0.12306742 2.90258288 130 130 130
-1.49939144 0.12298673 2.90067983 131 131 130
-1.49317908 0.12290616 2.89877939 131 131 131
-1.48697472 0.12282568 2.89688134 132 132 132
-1.48077869 0.12274532 2.89498591 131 131 131
-1.49310791 0.12420544 2.92942333 133 133 133
-1.50599086 0.12572215 2.96519542 146 146 146
-1.53442001 0.12305496 2.78382802 134 134 134
-1.52298474 0.12253900 2.77215576 124 124 124
-1.51838160 0.12257116 2.77288342 124 124 124
-1.51377583 0.12260333 2.77361107 126 126 125
-1.50916731 0.12263548 2.77433848 126 126 125
-1.50455642 0.12266766 2.77506638 128 128 127
-1.49994349 0.12269989 2.77579546 128 128 127
-1.49532783 0.12273210 2.77652407 130 130 129
-1.49070954 0.12276431 2.77725291 129 129 129
-1.48608887 0.12279655 2.77798223 130 130 130
-1.48146582 0.12282881 2.77871203 130 130 130
-1.47684038 0.12286108 2.77944207 131 131 131
-1.47221291 0.12289342 2.78017354 131 131 131
-1.46758270 0.12292573 2.78090453 132 132 132
-1.46294987 0.12295805 2.78163576 132 132 132
-1.45831454 0.12299038 2.78236723 133 133 133
-1.45367694 0.12302275 2.78309941 133 133 133
-1.44903684 0.12305512 2.78383183 133 133 133
-1.44439471 0.12308756 2.78456545 134 134 134
-1.43974972 0.12311996 2.78529859 134 134 134
-1.43510234 0.12315239 2.78603220 135 135 135
-1.43306184 0.12340954 2.79184961 136 136 136
-1.43479431 0.12399457 2.80508447 136 136 136
-1.43799484 0.12471105 2.82129335 138 138 138
-1.44123304 0.12543592 2.83769155 136 136 136
-1.44928277 0.12658620 2.86371398 136 136 135
-1.46123648 0.12808692 2.89766431 133 133 133
-1.47302365 0.12958376 2.93152690 132 132 132
-1.55599976 0.12820031 2.78649497 105 105 104
-1.53580546 0.12694664 2.75924587 116 116 116
-1.51600206 0.12571724 2.73252439 110 110 110
-1.49657857 0.12451144 2.70631552 122 122 122
-1.49196744 0.12453411 2.70680833 123 123 123
-1.48746443 0.12456598 2.70750117 124 124 124
-1.48295951 0.12459791 2.70819521 125 125 125
-1.47845221 0.12462986 2.70888948 126 126 126
-1.47394264 0.12466182 2.70958424 127 127 127
-1.46943045 0.12469376 2.71027851 127 127 127
-1.46491635 0.12472577 2.71097422 128 128 128
-1.46039951 0.12475774 2.71166921 128 128 128
-1.45588017 0.12478973 2.71236444 129 129 129
-1.45135868 0.12482174 2.71306014 129 129 129
-1.44683468 0.12485376 2.71375608 130 130 130
-1.44230855 0.12488580 2.71445251 130 130 130
-1.43778050 0.12491789 2.71515012 131 131 131
-1.43324947 0.12494995 2.71584702 131 131 131
-1.42871642 0.12498205 2.71654463 131 131 131
-1.42418075 0.12501414 2.71724224 132 132 132
-1.41964304 0.12504627 2.71794057 132 132 132
-1.41510272 0.12507841 2.71863890 133 133 133
-1.41056061 0.12511060 2.71933866 133 133 133
-1.40601587 0.12514277 2.72003794 133 133 133
-1.40408814 0.12540892 2.72582293 134 134 134
-1.40453041 0.12588938 2.73626566 135 135 135
-1.40520930 0.12639448 2.74724460 136 136 136
-1.40817618 0.12710971 2.76279020 136 136 136
-1.41117716 0.12783310 2.77851343 135 135 135
-1.41421211 0.12856473 2.79441595 134 134 134
-1.41728222 0.12930481 2.81050205 131 131 131
-1.44930816 0.13270147 2.88432980 129 129 129
-1.49087632 0.13699944 2.97774839 140 140 140
-1.51742351 0.12950636 2.70866060 88 88 88
-1.49825048 0.12828316 2.68307710 102 102 102
-1.47934258 0.12707481 2.65780401 118 118 118
-1.46678221 0.12640563 2.64380789 124 124 124
-1.46237803 0.12643726 2.64446950 124 124 124
-1.45797181 0.12646891 2.64513159 125 125 125
-1.45356286 0.12650055 2.64579320 125 125 125
-1.44915223 0.12653223 2.64645600 126 126 126
-1.44473922 0.12656394 2.64711905 127 127 127
-1.44032419 0.12659566 2.64778256 127 127 127
-1.43590641 0.12662736 2.64844537 128 128 128
-1.43148685 0.12665911 2.64910960 128 128 128
-1.42706501 0.12669086 2.64977384 129 129 129
-1.42264068 0.12672262 2.65043783 129 129 129
-1.41821456 0.12675442 2.65110302 130 130 130
-1.41378558 0.12678619 2.65176749 130 130 130
-1.40935457 0.12681797 2.65243244 130 130 130
-1.40492165 0.12684983 2.65309858 131 131 131
-1.40048611 0.12688164 2.65376401 131 131 131
-1.39604831 0.12691349 2.65442991 132 132 132
-1.39160836 0.12694535 2.65509629 132 132 132
-1.38716614 0.12697722 2.65576291 132 132 132
-1.38272166 0.12700909 2.65642977 133 133 133
-1.37827539 0.12704104 2.65709782 133 133 133
-1.37645316 0.12731591 2.66284680 134 134 134
-1.37678182 0.12779236 2.67281175 136 136 136
-1.37711298 0.12827238 2.68285179 136 136 136
-1.37744701 0.12875608 2.69296813 135 135 135
-1.37956905 0.12941089 2.70666409 135 135 135
-1.38234913 0.13013233 2.72175312 133 133 133
-1.38516009 0.13086183 2.73701072 132 132 132
-1.40110648 0.13284194 2.77842522 127 127 127
-1.43251979 0.13630798 2.85091853 126 126 126
-1.47305286 0.14066991 2.94214940 124 124 124
-1.49911702 0.13192229 2.65885639 128 128 128
-1.48084605 0.13073280 2.63488245 94 94 94
-1.46271336 0.12954788 2.61100078 109 109 109
-1.44463444 0.12836009 2.58706117 121 121 121
-1.43843341 0.12822340 2.58430624 123 123 123
-1.43412101 0.12825473 2.58493757 124 124 123
-1.42980719 0.12828612 2.58557034 125 125 125
-1.42549098 0.12831752 2.58620310 126 126 125
-1.42117238 0.12834890 2.58683562 127 127 126
-1.41685200 0.12838033 2.58746910 128 128 127
-1.41252959 0.12841178 2.58810306 128 128 127
-1.40820515 0.12844326 2.58873725 129 129 128
-1.40387785 0.12847468 2.58937073 129 129 128
-1.39954913 0.12850618 2.59000564 130 130 129
-1.39521825 0.12853770 2.59064078 130 130 129
-1.39088476 0.12856917 2.59127522 130 130 130
-1.38654959 0.12860073 2.59191108 131 131 130
-1.38221240 0.12863229 2.59254718 131 131 130
-1.37787247 0.12866381 2.59318256 132 132 131
-1.37353122 0.12869543 2.59381986 131 131 131
-1.36918712 0.12872699 2.59445596 131 131 131
-1.36484087 0.12875858 2.59509254 132 132 132
-1.36049259 0.12879017 2.59572935 132 132 132
-1.35614204 0.12882178 2.59636641 133 133 133
-1.35178936 0.12885340 2.59700370 133 133 133
-1.35006595 0.12913674 2.60271430 134 134 134
-1.35029101 0.12960909 2.61223435 135 135 135
-1.35051739 0.13008487 2.62182355 135 135 135
-1.35074544 0.13056415 2.63148332 136 136 136
-1.35097551 0.13104701 2.64121532 135 135 135
-1.35210097 0.13162044 2.65277267 134 134 134
-1.35467541 0.13233952 2.66726542 132 132 132
-1.35727775 0.13306645 2.68191648 130 130 130
-1.38866937 0.13663115 2.75376201 125 125 125
-1.41907203 0.14012381 2.82415557 122 122 122
-1.45565128 0.14425373 2.90739298 119 119 119
-1.46368372 0.13306215 2.58773065 108 108 108
-1.44620919 0.13189428 2.56501842 100 100 100
-1.42903566 0.13074644 2.54269576 114 114 114
-1.41555357 0.12993003 2.52681875 123 123 123
-1.41133213 0.12996112 2.52742314 123 123 123
-1.40710878 0.12999222 2.52802801 124 124 124
-1.40288281 0.13002329 2.52863216 125 125 125
-1.39865553 0.13005443 2.52923775 125 125 125
-1.39442599 0.13008557 2.52984333 127 127 126
-1.39019406 0.13011669 2.53044844 127 127 127
-1.38596046 0.13014786 2.53105474 128 128 128
-1.38172495 0.13017905 2.53166127 129 129 128
-1.37748730 0.13021025 2.53226805 129 129 128
-1.37324727 0.13024142 2.53287435 130 130 129
-1.36900556 0.13027264 2.53348160 130 130 129
-1.36476183 0.13030389 2.53408933 131 131 130
-1.36051571 0.13033512 2.53469658 131 131 130
-1.35626793 0.13036640 2.53530478 131 131 130
-1.35201824 0.13039769 2.53591347 132 132 131
-1.34776592 0.13042895 2.53652143 131 131 131
-1.34351206 0.13046028 2.53713059 131 131 130
-1.33925605 0.13049161 2.53773999 132 132 131
-1.33499765 0.13052292 2.53834891 132 132 131
-1.33073771 0.13055430 2.53895903 132 132 131
-1.32647514 0.13058564 2.53956842 133 133 132
-1.32484448 0.13087718 2.54523826 134 134 133
-1.32497406 0.13134524 2.55434108 135 135 135
-1.32510483 0.13181672 2.56350994 135 135 135
-1.32523620 0.13229153 2.57274389 136 136 136
-1.32536864 0.13276979 2.58204484 135 135 135
-1.32550228 0.13325155 2.59141397 134 134 134
-1.32570553 0.13374373 2.60098577 132 132 132
-1.32808805 0.13446006 2.61491656 130 130 130
-1.34545159 0.13670364 2.65854859 127 127 127
-1.37645102 0.14035368 2.72953296 122 122 122
-1.40601897 0.14388345 2.79817820 119 119 119
-1.43865621 0.14775388 2.87344837 114 114 114
-1.48317897 0.15287741 2.97308826 127 127 127
-1.44712400 0.13530953 2.54223537 126 126 126
-1.43009675 0.13414262 2.52031112 90 90 90
-1.41336083 0.13299568 2.49876189 107 107 107
-1.39599633 0.13178205 2.47596002 117 117 116
-1.38985765 0.13162376 2.47298598 120 120 119
-1.38575816 0.13165818 2.47363281 120 120 120
-1.38165653 0.13169263 2.47427988 121 121 121
-1.37755287 0.13172710 2.47492743 122 122 121
-1.37344730 0.13176161 2.47557592 122 122 122
-1.36933923 0.13179611 2.47622418 122 122 122
-1.36522901 0.13183063 2.47687268 123 123 123
-1.36111712 0.13186520 2.47752237 123 123 123
-1.35700262 0.13189976 2.47817159 123 123 123
-1.35288596 0.13193433 2.47882104 123 123 123
-1.34876752 0.13196896 2.47947168 123 123 123
-1.34464645 0.13200356 2.48012185 123 123 123
-1.34052336 0.13203819 2.48077250 122 122 122
-1.33639836 0.13207288 2.48142409 122 122 122
-1.33227324 0.13210778 2.48207974 122 122 122
-1.32814908 0.13214301 2.48274159 122 122 122
-1.32402325 0.13217829 2.48340464 123 123 123
-1.31989467 0.13221355 2.48406720 123 123 123
-1.31576395 0.13224885 2.48473024 123 123 123
-1.31163096 0.13228415 2.48539352 124 124 124
-1.30749607 0.13231950 2.48605776 124 124 124
-1.30335867 0.13235484 2.48672175 123 123 123
-1.30128849 0.13260107 2.49134803 127 127 127
-1.30045438 0.13297541 2.49838114 130 130 130
-1.30061412 0.13345432 2.50737906 132 132 132
-1.30077529 0.13393672 2.51644254 134 134 134
-1.30088413 0.13441710 2.52546811 135 135 134
-1.30092752 0.13489407 2.53442955 134 134 134
-1.30097187 0.13537449 2.54345584 132 132 132
-1.30101597 0.13585830 2.55254579 130 130 129
-1.30512249 0.13677128 2.56969905 128 128 128
-1.33401942 0.14029795 2.63595915 124 124 124
-1.36444604 0.14401129 2.70572662 118 118 118
-1.39320385 0.14757456 2.77267432 113 113 113
-1.42301834 0.15127583 2.84221482 109 109 109
-1.46495140 0.15629680 2.93655038 104 104 104
-1.41453660 0.13631395 2.47713590 107 107 106
-1.38868105 0.13424650 2.43956566 90 90 90
-1.37994373 0.13382602 2.43192458 70 70 70
-1.37126017 0.13340808 2.42432976 79 79 79
-1.36684871 0.13340443 2.42426348 80 80 80
-1.36282909 0.13343912 2.42489386 82 82 82
-1.35880804 0.13347390 2.42552567 83 83 83
-1.35478520 0.13350871 2.42615843 86 86 86
-1.35092282 0.13355963 2.42708373 88 88 88
-1.34738195 0.13364276 2.42859435 89 89 89
-1.34383655 0.13372599 2.43010664 104 104 104
-1.34028673 0.13380931 2.43162107 101 101 100
-1.33673251 0.13389274 2.43313718 102 102 102
-1.33317399 0.13397630 2.43465543 103 103 103
-1.32961082 0.13405994 2.43617535 104 104 104
-1.32604325 0.13414368 2.43769717 106 106 106
-1.32247126 0.13422753 2.43922091 107 107 107
-1.31113553 0.13352130 2.42638731 108 108 108
-1.30492187 0.13333373 2.42297840 110 110 110
-1.29872262 0.13314636 2.41957355 111 111 111
-1.29254377 0.13295981 2.41618371 111 111 111
-1.28638232 0.13277380 2.41280341 111 111 111
-1.28023791 0.13258830 2.40943241 111 111 111
-1.27411079 0.13240334 2.40607119 112 112 111
-1.26799774 0.13221857 2.40271354 120 120 119
-1.26469624 0.13232671 2.40467858 121 121 120
-1.27143466 0.13348970 2.42581272 114 114 114
-1.28399277 0.13527386 2.45823503 110 110 110
-1.28120136 0.13544762 2.46139288 107 107 107
-1.27840269 0.13562185 2.46455884 108 108 108
-1.27693403 0.13593888 2.47031999 110 110 110
-1.27870142 0.13660383 2.48240376 115 115 115
-1.28048635 0.13727534 2.49460649 121 121 121
-1.28228879 0.13795346 2.50692964 124 124 124
-1.28410900 0.13863832 2.51937509 126 127 126
-1.29440057 0.14024588 2.54858828 126 126 125
-1.32277989 0.14383167 2.61375022 121 121 121
-1.35264826 0.14760563 2.68233156 114 114 114
-1.38062012 0.15119897 2.74763083 109 109 109
-1.40984607 0.15495606 2.81590557 104 104 104
-1.44716668 0.15963322 2.90090036 99 99 99
-1.34586036 0.13352631 2.34944701 96 96 96
-1.32480490 0.13185261 2.31999779 110 110 110
-1.32086682 0.13187736 2.32043314 123 123 123
-1.31692803 0.13190217 2.32086968 124 124 124
-1.31298769 0.13192700 2.32130647 125 125 125
-1.30904591 0.13195182 2.32174349 125 125 125
-1.30510259 0.13197666 2.32218051 125 125 125
-1.30115700 0.13200143 2.32261634 127 127 126
-1.29721081 0.13202630 2.32305384 128 128 127
-1.29326296 0.13205117 2.32349133 127 127 127
-1.28931379 0.13207604 2.32392907 128 128 127
-1.28536296 0.13210092 2.32436681 128 128 127
-1.28141069 0.13212581 2.32480478 129 129 129
-1.27745628 0.13215065 2.32524180 129 129 129
-1.27350104 0.13217556 2.32568026 129 129 129
-1.26954436 0.13220048 2.32611871 130 130 130
-1.26558614 0.13222542 2.32655740 130 130 130
-1.26162648 0.13225037 2.32699633 130 130 130
-1.25766528 0.13227531 2.32743526 131 131 131
-1.25370193 0.13230020 2.32787323 131 131 131
-1.24973965 0.13232538 2.32831621 131 131 131
-1.24578297 0.13235131 2.32877254 132 132 132
-1.24182463 0.13237725 2.32922888 133 133 132
-1.23786497 0.13240321 2.32968569 132 132 131
-1.23390353 0.13242917 2.33014250 134 134 133
-1.23376787 0.13286731 2.33785176 135 135 134
-1.23374534 0.13332069 2.34582901 136 136 136
-1.23372281 0.13377717 2.35386109 137 137 136
-1.23369992 0.13423677 2.36194801 137 137 136
-1.23367691 0.13469957 2.37009096 134 134 133
-1.23365378 0.13516556 2.37829018 134 134 134
-1.23363042 0.13563477 2.38654613 131 131 130
-1.23726571 0.13651092 2.40196252 125 125 125
-1.27853084 0.14155965 2.49079680 121 121 121
-1.28032088 0.14225787 2.50308228 120 120 120
-1.28212869 0.14296302 2.51548982 122 122 122
-1.28395450 0.14367519 2.52802062 123 123 123
-1.31172812 0.14730637 2.59191251 117 117 117
-1.34095299 0.15112707 2.65913939 111 111 111
-1.36826181 0.15475851 2.72303605 105 105 105
-1.39691532 0.15856877 2.79007888 99 99 99
-1.44448829 0.16456196 2.89553142 97 97 97
-1.32217455 0.13449350 2.29365087 111 111 111
-1.30359471 0.13301988 2.26851964 123 123 123
-1.29974079 0.13304433 2.26893687 124 124 124
-1.29588461 0.13306873 2.26935267 125 125 125
-1.29202795 0.13309321 2.26977038 125 125 125
-1.28816974 0.13311771 2.27018809 127 127 127
-1.28431010 0.13314220 2.27060580 127 127 127
-1.28044915 0.13316670 2.27102375 128 128 127
-1.27658665 0.13319123 2.27144194 129 129 128
-1.27272224 0.13321570 2.27185917 129 129 128
-1.26885700 0.13324022 2.27227759 130 130 129
-1.26499033 0.13326478 2.27269626 130 130 129
-1.26112211 0.13328932 2.27311492 130 130 129
-1.25725257 0.13331389 2.27353382 131 131 130
-1.25338161 0.13333847 2.27395296 131 131 130
-1.24950850 0.13336298 2.27437091 131 131 130
-1.24563920 0.13338806 2.27479863 132 132 131
-1.24177277 0.13341360 2.27523422 132 132 131
-1.23790419 0.13343909 2.27566910 133 133 132
-1.23403490 0.13346466 2.27610517 133 133 132
-1.23016393 0.13349023 2.27654123 133 133 132
-1.22629142 0.13351582 2.27697754 134 134 133
-1.22241747 0.13354141 2.27741385 134 134 133
-1.21854198 0.13356701 2.27785039 133 133 132
-1.21466517 0.13359262 2.27828717 134 134 133
-1.21278584 0.13383885 2.28248644 135 135 134
-1.21269429 0.13428472 2.29009032 135 135 135
-1.21260190 0.13473354 2.29774451 136 136 135
-1.21250880 0.13518536 2.30544996 137 137 136
-1.21241510 0.13564025 2.31320739 137 137 137
-1.21232069 0.13609818 2.32101703 137 137 136
-1.21222568 0.13655922 2.32887959 137 137 136
-1.21212995 0.13702339 2.33679557 135 135 135
-1.21245170 0.13753815 2.34557438 134 134 134
-1.21330178 0.13811667 2.35544038 132 132 132
-1.21959400 0.13932092 2.37597775 131 131 131
-1.27835906 0.14654909 2.49924684 118 118 118
-1.28015423 0.14727439 2.51161599 115 115 115
-1.28196740 0.14800690 2.52410817 117 117 117
-1.30085945 0.15072346 2.57043648 113 113 113
-1.32933295 0.15457360 2.63609672 106 106 106
-1.35612273 0.15825491 2.69887757 101 101 101
-1.38754654 0.16250545 2.77136636 95 95 95
-1.44264233 0.16956916 2.89183092 97 97 97
-1.27953148 0.13416058 2.21967554 124 124 124
-1.27575564 0.13418466 2.22007394 126 126 126
-1.27197921 0.13420883 2.22047377 126 126 126
-1.26820052 0.13423292 2.22087240 127 127 127
-1.26442122 0.13425709 2.22127223 128 128 128
-1.26064050 0.13428126 2.22167230 128 128 128
-1.25685847 0.13430545 2.22207236 129 129 129
-1.25307512 0.13432966 2.22247291 129 129 129
-1.24929035 0.13435385 2.22287321 129 129 129
-1.24550354 0.13437800 2.22327280 130 130 130
-1.24172246 0.13440292 2.22368503 130 130 130
-1.23794222 0.13442808 2.22410131 131 131 131
-1.23416066 0.13445327 2.22451806 131 131 131
-1.23037755 0.13447846 2.22493482 131 131 131
-1.22659278 0.13450363 2.22535133 132 132 132
-1.22280693 0.13452883 2.22576833 132 132 132
-1.21901941 0.13455404 2.22618532 133 133 133
-1.21522999 0.13457918 2.22660136 133 133 133
-1.21143961 0.13460441 2.22701859 133 133 133
-1.20764792 0.13462964 2.22743607 134 134 134
